datetime,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,QV2M,RH2M,T2M,WS10M,WS2M
2020-01-01 00:00:00,0.0,9.5,90.49,5.06,100.0,2.51,1.62,0.99
2020-01-01 01:00:00,0.0,11.83,90.44,5.0,99.99,2.37,1.63,1.0
2020-01-01 02:00:00,0.0,14.79,90.4,4.93,99.47,2.24,1.71,1.05
2020-01-01 03:00:00,0.0,25.61,90.35,4.86,98.63,2.15,1.78,1.12
2020-01-01 04:00:00,0.0,31.46,90.28,4.75,97.79,1.94,1.84,1.15
2020-01-01 05:00:00,0.0,35.7,90.23,4.63,96.93,1.7,1.86,1.17
2020-01-01 06:00:00,0.0,40.14,90.22,4.52,97.45,1.29,1.87,1.15
2020-01-01 07:00:00,0.0,42.43,90.24,4.44,98.33,0.92,1.8,1.04
2020-01-01 08:00:00,25.98,40.97,90.27,4.5,97.14,1.28,1.77,1.05
2020-01-01 09:00:00,75.07,36.49,90.31,4.59,94.47,1.95,2.1,1.28
2020-01-01 10:00:00,108.93,30.57,90.33,4.57,91.69,2.31,2.39,1.43
2020-01-01 11:00:00,129.52,25.02,90.3,4.52,89.38,2.51,2.36,1.39
2020-01-01 12:00:00,120.2,19.78,90.26,4.46,88.35,2.48,2.09,1.23
2020-01-01 13:00:00,104.28,16.61,90.23,4.4,88.01,2.34,1.75,1.04
2020-01-01 14:00:00,112.5,16.04,90.24,4.35,88.33,2.13,1.56,0.92
2020-01-01 15:00:00,65.57,17.57,90.26,4.32,90.88,1.64,1.4,0.81
2020-01-01 16:00:00,12.18,19.4,90.29,4.25,95.42,0.74,1.17,0.68
2020-01-01 17:00:00,0.0,17.7,90.33,4.2,98.39,0.16,1.09,0.65
2020-01-01 18:00:00,0.0,14.58,90.37,4.2,98.29,0.18,1.19,0.71
2020-01-01 19:00:00,0.0,11.12,90.4,4.23,98.31,0.28,1.33,0.83
2020-01-01 20:00:00,0.0,10.33,90.44,4.23,98.49,0.26,1.58,1.02
2020-01-01 21:00:00,0.0,11.89,90.48,4.23,98.9,0.21,1.84,1.2
2020-01-01 22:00:00,0.0,14.43,90.52,4.21,99.12,0.12,2.03,1.28
2020-01-01 23:00:00,0.0,15.6,90.55,4.16,99.91,-0.13,2.14,1.31
2020-01-02 00:00:00,0.0,15.57,90.58,4.14,100.0,-0.22,2.18,1.3
2020-01-02 01:00:00,0.0,15.24,90.6,4.16,99.47,-0.07,2.13,1.28
2020-01-02 02:00:00,0.0,16.18,90.63,4.16,98.7,0.03,2.06,1.24
2020-01-02 03:00:00,0.0,17.79,90.62,4.17,98.86,0.04,2.01,1.2
2020-01-02 04:00:00,0.0,19.31,90.64,4.16,98.93,0.0,1.95,1.16
2020-01-02 05:00:00,0.0,20.76,90.67,4.16,99.05,-0.01,1.95,1.13
2020-01-02 06:00:00,0.0,23.37,90.73,4.13,98.81,-0.06,2.0,1.15
2020-01-02 07:00:00,0.0,23.1,90.78,4.1,98.72,-0.13,2.02,1.16
2020-01-02 08:00:00,30.9,21.76,90.84,4.1,97.44,0.04,2.12,1.19
2020-01-02 09:00:00,89.43,19.39,90.89,4.12,95.72,0.36,2.32,1.37
2020-01-02 10:00:00,158.62,17.31,90.93,4.08,94.29,0.44,2.32,1.4
2020-01-02 11:00:00,207.2,15.7,90.92,4.06,93.81,0.44,2.23,1.34
2020-01-02 12:00:00,192.9,11.72,90.89,4.05,92.81,0.55,2.19,1.31
2020-01-02 13:00:00,159.1,10.37,90.88,4.03,92.42,0.54,2.07,1.24
2020-01-02 14:00:00,104.43,9.85,90.91,4.01,92.85,0.41,1.77,1.05
2020-01-02 15:00:00,75.07,9.15,90.93,3.99,94.03,0.17,1.34,0.77
2020-01-02 16:00:00,13.6,8.75,90.96,3.93,96.71,-0.37,0.84,0.44
2020-01-02 17:00:00,0.0,7.23,91.0,3.86,97.91,-0.73,0.7,0.39
2020-01-02 18:00:00,0.0,6.54,91.04,3.85,97.78,-0.74,0.7,0.41
2020-01-02 19:00:00,0.0,6.19,91.07,3.82,98.1,-0.87,0.69,0.43
2020-01-02 20:00:00,0.0,6.05,91.09,3.8,98.34,-0.96,0.76,0.51
2020-01-02 21:00:00,0.0,3.56,91.11,3.8,98.69,-1.0,0.84,0.57
2020-01-02 22:00:00,0.0,2.25,91.12,3.81,98.88,-0.99,0.88,0.6
2020-01-02 23:00:00,0.0,1.67,91.12,3.8,98.47,-0.97,0.9,0.63
2020-01-03 00:00:00,0.0,2.62,91.13,3.78,97.87,-0.96,0.81,0.57
2020-01-03 01:00:00,0.0,2.99,91.12,3.73,96.41,-0.94,0.57,0.42
2020-01-03 02:00:00,0.0,2.73,91.12,3.65,95.21,-1.05,0.28,0.21
2020-01-03 03:00:00,0.0,2.12,91.11,3.57,94.61,-1.24,0.12,0.05
2020-01-03 04:00:00,0.0,1.79,91.1,3.51,94.18,-1.39,0.36,0.29
2020-01-03 05:00:00,0.0,1.44,91.08,3.45,93.87,-1.56,0.71,0.56
2020-01-03 06:00:00,0.0,0.94,91.07,3.38,92.42,-1.62,1.01,0.76
2020-01-03 07:00:00,0.0,0.37,91.07,3.27,90.69,-1.79,1.21,0.9
2020-01-03 08:00:00,65.82,0.11,91.08,3.3,87.73,-1.28,1.13,0.78
2020-01-03 09:00:00,198.68,0.03,91.09,3.54,82.45,0.36,0.64,0.36
2020-01-03 10:00:00,321.3,0.05,91.07,3.56,74.3,1.88,0.26,0.23
2020-01-03 11:00:00,414.5,0.03,91.01,3.42,68.11,2.53,0.59,0.45
2020-01-03 12:00:00,425.92,0.02,90.94,3.34,64.42,2.97,0.89,0.63
2020-01-03 13:00:00,386.95,0.0,90.86,3.37,64.12,3.15,1.23,0.83
2020-01-03 14:00:00,284.1,0.0,90.82,3.47,66.55,3.03,1.5,0.97
2020-01-03 15:00:00,153.1,0.0,90.8,3.74,74.99,2.4,1.6,0.99
2020-01-03 16:00:00,28.35,0.0,90.78,3.53,81.12,0.5,1.91,1.27
2020-01-03 17:00:00,0.0,0.0,90.77,3.3,83.59,-0.74,2.0,1.35
2020-01-03 18:00:00,0.0,0.0,90.75,3.2,84.2,-1.2,1.86,1.22
2020-01-03 19:00:00,0.0,0.0,90.72,3.07,82.6,-1.47,1.75,1.1
2020-01-03 20:00:00,0.0,0.0,90.68,2.96,80.41,-1.59,1.72,1.03
2020-01-03 21:00:00,0.0,0.01,90.64,2.87,78.71,-1.71,1.74,0.97
2020-01-03 22:00:00,0.0,0.01,90.6,2.78,77.76,-1.95,1.81,0.95
2020-01-03 23:00:00,0.0,0.02,90.55,2.69,76.98,-2.23,1.89,0.95
2020-01-04 00:00:00,0.0,0.07,90.5,2.63,75.93,-2.34,1.94,1.0
2020-01-04 01:00:00,0.0,0.1,90.46,2.64,74.48,-2.07,2.02,1.07
2020-01-04 02:00:00,0.0,0.14,90.42,2.75,73.51,-1.43,2.06,1.09
2020-01-04 03:00:00,0.0,0.26,90.36,2.87,73.18,-0.87,2.02,1.05
2020-01-04 04:00:00,0.0,0.49,90.3,2.97,73.51,-0.52,2.0,1.03
2020-01-04 05:00:00,0.0,0.46,90.25,3.06,73.96,-0.24,1.99,1.02
2020-01-04 06:00:00,0.0,0.28,90.23,3.08,74.0,-0.17,2.0,1.03
2020-01-04 07:00:00,0.0,0.14,90.24,3.08,75.11,-0.35,2.11,1.08
2020-01-04 08:00:00,50.38,0.05,90.24,3.25,75.11,0.34,2.18,1.09
2020-01-04 09:00:00,139.75,0.02,90.23,3.74,73.41,2.61,2.04,1.05
2020-01-04 10:00:00,236.68,0.0,90.2,3.95,67.15,4.64,2.1,1.17
2020-01-04 11:00:00,303.35,0.0,90.13,3.97,61.48,5.97,1.77,1.0
2020-01-04 12:00:00,327.92,0.0,90.06,3.99,59.19,6.58,1.2,0.66
2020-01-04 13:00:00,293.12,0.0,90.01,3.97,58.3,6.72,0.68,0.35
2020-01-04 14:00:00,228.73,0.0,90.0,3.99,59.4,6.52,0.3,0.17
2020-01-04 15:00:00,117.62,0.0,90.01,4.15,64.89,5.81,0.15,0.17
2020-01-04 16:00:00,22.2,0.0,90.02,3.69,64.4,4.24,0.59,0.48
2020-01-04 17:00:00,0.0,0.0,90.04,3.49,67.21,2.85,0.97,0.68
2020-01-04 18:00:00,0.0,0.0,90.05,3.38,69.82,1.87,1.38,0.86
2020-01-04 19:00:00,0.0,0.0,90.05,3.28,71.6,1.1,1.69,1.03
2020-01-04 20:00:00,0.0,0.0,90.03,3.25,74.73,0.38,1.87,1.14
2020-01-04 21:00:00,0.0,0.0,90.04,3.27,78.65,-0.21,1.92,1.18
2020-01-04 22:00:00,0.0,0.0,90.05,3.3,81.64,-0.55,1.87,1.17
2020-01-04 23:00:00,0.0,0.01,90.07,3.35,84.83,-0.83,1.79,1.14
2020-01-05 00:00:00,0.0,0.03,90.07,3.4,88.27,-1.13,1.65,1.08
2020-01-05 01:00:00,0.0,0.19,90.07,3.47,92.59,-1.46,1.65,1.09
2020-01-05 02:00:00,0.0,0.63,90.08,3.51,94.84,-1.61,1.79,1.12
2020-01-05 03:00:00,0.0,1.06,90.06,3.56,96.57,-1.66,1.8,1.09
2020-01-05 04:00:00,0.0,0.9,90.06,3.6,95.79,-1.43,1.75,1.07
2020-01-05 05:00:00,0.0,0.49,90.06,3.57,95.16,-1.45,1.85,1.1
2020-01-05 06:00:00,0.0,0.35,90.09,3.49,94.86,-1.68,2.07,1.18
2020-01-05 07:00:00,0.0,0.39,90.12,3.4,93.86,-1.86,2.22,1.27
2020-01-05 08:00:00,60.38,0.48,90.16,3.44,90.59,-1.29,2.23,1.27
2020-01-05 09:00:00,176.6,0.59,90.18,3.66,82.88,0.61,1.93,1.11
2020-01-05 10:00:00,281.5,0.62,90.2,3.85,74.74,2.76,1.4,0.89
2020-01-05 11:00:00,363.33,0.81,90.19,3.84,67.51,4.16,1.25,0.85
2020-01-05 12:00:00,358.35,0.74,90.15,3.84,65.35,4.62,1.4,0.95
2020-01-05 13:00:00,336.67,0.44,90.14,3.91,66.06,4.72,1.57,1.03
2020-01-05 14:00:00,253.3,0.21,90.15,4.02,68.98,4.5,1.62,1.03
2020-01-05 15:00:00,141.7,0.12,90.2,4.31,78.37,3.68,1.33,0.81
2020-01-05 16:00:00,28.17,0.04,90.24,4.0,81.01,2.17,1.1,0.77
2020-01-05 17:00:00,0.0,0.01,90.28,3.85,81.03,1.64,0.5,0.41
2020-01-05 18:00:00,0.0,0.0,90.33,3.74,81.88,1.1,1.0,0.74
2020-01-05 19:00:00,0.0,0.0,90.35,3.57,82.12,0.42,1.41,0.94
2020-01-05 20:00:00,0.0,0.0,90.35,3.42,80.52,0.1,1.58,0.97
2020-01-05 21:00:00,0.0,0.0,90.33,3.27,79.69,-0.33,1.68,0.96
2020-01-05 22:00:00,0.0,0.0,90.35,3.15,79.56,-0.76,1.76,0.98
2020-01-05 23:00:00,0.0,0.0,90.39,3.04,79.48,-1.17,1.98,1.11
2020-01-06 00:00:00,0.0,0.0,90.42,2.95,80.17,-1.63,2.22,1.26
2020-01-06 01:00:00,0.0,0.0,90.45,2.87,80.34,-1.98,2.42,1.39
2020-01-06 02:00:00,0.0,0.0,90.47,2.81,80.68,-2.28,2.61,1.48
2020-01-06 03:00:00,0.0,0.0,90.47,2.76,80.65,-2.49,2.82,1.56
2020-01-06 04:00:00,0.0,0.0,90.46,2.74,81.08,-2.64,3.07,1.63
2020-01-06 05:00:00,0.0,0.0,90.46,2.79,84.1,-2.86,3.28,1.68
2020-01-06 06:00:00,0.0,0.0,90.47,2.86,86.43,-2.89,3.45,1.74
2020-01-06 07:00:00,0.0,0.0,90.5,2.9,87.67,-2.89,3.59,1.82
2020-01-06 08:00:00,72.47,0.0,90.56,3.08,83.06,-1.52,3.72,1.96
2020-01-06 09:00:00,208.43,0.0,90.6,3.37,73.91,1.12,3.6,1.92
2020-01-06 10:00:00,328.3,0.0,90.62,3.66,66.84,3.69,3.12,1.75
2020-01-06 11:00:00,389.55,0.0,90.59,3.68,58.21,5.74,2.54,1.39
2020-01-06 12:00:00,393.45,0.0,90.53,3.83,56.85,6.65,2.05,0.99
2020-01-06 13:00:00,384.62,0.0,90.49,3.86,56.21,6.92,1.96,0.9
2020-01-06 14:00:00,288.58,0.0,90.53,3.97,58.6,6.73,1.78,0.85
2020-01-06 15:00:00,160.2,0.0,90.58,4.51,72.29,5.54,1.22,0.58
2020-01-06 16:00:00,32.67,0.0,90.57,3.81,70.73,3.45,1.8,0.95
2020-01-06 17:00:00,0.0,0.0,90.58,3.49,72.93,1.79,2.35,1.26
2020-01-06 18:00:00,0.0,0.0,90.58,3.44,78.93,0.49,2.69,1.27
2020-01-06 19:00:00,0.0,0.0,90.56,3.36,81.14,-0.19,2.94,1.31
2020-01-06 20:00:00,0.0,0.0,90.54,3.21,77.51,-0.19,3.4,1.58
2020-01-06 21:00:00,0.0,0.0,90.52,3.1,73.57,0.02,4.19,2.05
2020-01-06 22:00:00,0.0,0.0,90.51,3.16,75.41,-0.05,4.66,2.41
2020-01-06 23:00:00,0.0,0.0,90.49,3.18,77.83,-0.36,4.84,2.54
2020-01-07 00:00:00,0.0,0.0,90.49,3.15,80.15,-0.83,4.92,2.56
2020-01-07 01:00:00,0.0,0.0,90.5,3.05,79.84,-1.17,4.83,2.48
2020-01-07 02:00:00,0.0,0.01,90.52,2.99,79.34,-1.33,4.65,2.36
2020-01-07 03:00:00,0.0,0.03,90.51,2.99,78.21,-1.16,4.61,2.33
2020-01-07 04:00:00,0.0,0.09,90.49,3.03,77.94,-0.96,4.59,2.33
2020-01-07 05:00:00,0.0,0.07,90.48,3.09,77.91,-0.72,4.62,2.35
2020-01-07 06:00:00,0.0,0.02,90.49,3.17,77.33,-0.32,4.59,2.34
2020-01-07 07:00:00,0.0,0.0,90.51,3.25,77.93,-0.11,4.57,2.36
